model_name,fold,Accuracy,Precision,Recall,F1,ROC_AUC,Average Precision,Train Time,Dataset
Logistic Regression,5,0.7158634538152611,0.1201298701298701,0.7551020408163265,0.2072829131652661,0.8113484041980045,0.1649331014619287,1.0107536315917969,Stroke
KNN,1,0.9498495486459378,0.0,0.0,0.0,0.6942872228088701,0.1190391963625478,2.610971212387085,Stroke
KNN,2,0.9497991967871486,0.0,0.0,0.0,0.7177167019027485,0.1242352492875779,1.356759786605835,Stroke
KNN,3,0.9497991967871486,0.0,0.0,0.0,0.7114270613107823,0.0975719520436441,1.4212861061096191,Stroke
KNN,4,0.9477911646586346,0.0,0.0,0.0,0.6856022239941382,0.0921817624448498,1.340144395828247,Stroke
KNN,5,0.9497991967871486,0.0,0.0,0.0,0.7177984182057194,0.1022219416367437,2.303150177001953,Stroke
Decision Tree,1,0.7753259779338014,0.1375,0.66,0.2275862068965517,0.7913199577613517,0.1603935827051273,0.8218979835510254,Stroke
Decision Tree,2,0.6576305220883534,0.1078167115902965,0.8,0.1900237529691211,0.801247357293869,0.1731914073912269,0.4692621231079101,Stroke
Decision Tree,3,0.751004016064257,0.1162790697674418,0.6,0.1948051948051948,0.7230655391120507,0.143611357597754,0.5087268352508545,Stroke
Decision Tree,4,0.7018072289156626,0.1196319018404908,0.7959183673469388,0.208,0.7924810895847251,0.154444984591195,0.5117158889770508,Stroke
Decision Tree,5,0.6485943775100401,0.0986666666666666,0.7551020408163265,0.1745283018867924,0.7391224705299226,0.1093718568777256,0.6423213481903076,Stroke
Random Forest,1,0.9478435305917752,0.0,0.0,0.0,0.8234530095036959,0.1579075114423055,24.586219310760494,Stroke
Random Forest,2,0.9497991967871486,0.0,0.0,0.0,0.788107822410148,0.1599051091533279,20.13812565803528,Stroke
Random Forest,3,0.9497991967871486,0.5,0.02,0.0384615384615384,0.8094186046511627,0.1610662890186437,20.29371666908264,Stroke
Random Forest,4,0.9497991967871486,0.0,0.0,0.0,0.7943020925371204,0.1293210730781378,18.36617517471313,Stroke
Random Forest,5,0.9116465863453816,0.1454545454545454,0.1632653061224489,0.1538461538461538,0.7828804172144043,0.1321162786763517,18.055365324020386,Stroke
Gradient Boosting,1,0.950852557673019,1.0,0.02,0.0392156862745098,0.8436219640971488,0.1891545731065938,57.10604190826416,Stroke
Gradient Boosting,2,0.9487951807228916,0.0,0.0,0.0,0.8242811839323467,0.1789396019975563,56.966983795166016,Stroke
Gradient Boosting,3,0.9497991967871486,0.0,0.0,0.0,0.8400951374207188,0.1873925678262457,54.63648724555969,Stroke
Gradient Boosting,4,0.9508032128514056,0.0,0.0,0.0,0.8565717733767213,0.1932039679233535,52.98648381233215,Stroke
Gradient Boosting,5,0.9508032128514056,0.0,0.0,0.0,0.8218757407926213,0.1519326807509038,53.7603132724762,Stroke
Naive Bayes,1,0.8335005015045135,0.1419753086419753,0.46,0.2169811320754717,0.8360295670538542,0.1919526200681559,0.0034561157226562,Stroke
Naive Bayes,2,0.8112449799196787,0.1584158415841584,0.64,0.2539682539682539,0.8115433403805498,0.1835207643372789,0.0034239292144775,Stroke
Naive Bayes,3,0.820281124497992,0.1271676300578034,0.44,0.1973094170403587,0.795369978858351,0.1497320403960511,0.003453254699707,Stroke
Naive Bayes,4,0.8142570281124498,0.1458333333333333,0.5714285714285714,0.2323651452282157,0.8225114755511498,0.1526616659674587,0.0032756328582763,Stroke
Naive Bayes,5,0.821285140562249,0.1550802139037433,0.5918367346938775,0.2457627118644068,0.7717604465228541,0.1353783207822993,0.0031955242156982,Stroke
MLP (PyTorch),1,0.9498495486459378,0.0,0.0,0.0,0.8476874340021119,0.1960441664017913,16.422348976135254,Stroke
MLP (PyTorch),2,0.9497991967871486,0.0,0.0,0.0,0.7881183932346723,0.1947619164770306,4.855889797210693,Stroke
MLP (PyTorch),3,0.9497991967871486,0.0,0.0,0.0,0.8172727272727274,0.2411737671334791,2.1845240592956543,Stroke
MLP (PyTorch),4,0.9508032128514056,0.0,0.0,0.0,0.8179428054220632,0.176964280091486,2.686143636703491,Stroke
MLP (PyTorch),5,0.9467871485943776,0.0,0.0,0.0,0.7816304980281447,0.1397188954657471,1.288522481918335,Stroke
